No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area,7 neighborhood rating
70,2015,10,1585,4,25.041,121.573,400399.4330960715,4
71,1996,29,1679,7,25.033,121.564,700153.6281284783,5
72,2009,16,261,7,25.033,121.565,702528.6745058781,4
73,2018,7,301,5,25.034,121.566,502715.0239209343,3
74,2004,21,1095,7,25.035,121.567,700507.0327046571,5
75,2000,25,369,6,25.036,121.568,601435.367421019,4
76,1997,28,1986,7,25.037,121.569,700121.7785956196,4
77,2018,7,915,5,25.038,121.57,500101.75165880425,5
78,2010,15,1394,5,25.039,121.571,500643.62679910567,3
79,1996,29,555,6,25.04,121.572,601622.3748777717,5
80,2015,10,1585,4,25.041,121.573,400399.4330960715,4
81,1996,29,1679,7,25.033,121.564,700153.6281284783,5
82,2009,16,261,7,25.033,121.565,702528.6745058781,4
83,2018,7,301,5,25.034,121.566,502715.0239209343,3
84,2004,21,1095,7,25.035,121.567,700507.0327046571,5
85,2000,25,369,6,25.036,121.568,601435.367421019,4
86,1997,28,1986,7,25.037,121.569,700121.7785956196,4
87,2018,7,915,5,25.038,121.57,500101.75165880425,5
88,2010,15,1394,5,25.039,121.571,500643.62679910567,3
89,1996,29,555,6,25.04,121.572,601622.3748777717,5
90,2015,10,1585,4,25.041,121.573,400399.4330960715,4
91,1996,29,1679,7,25.033,121.564,700153.6281284783,5
92,2009,16,261,7,25.033,121.565,702528.6745058781,4
93,2018,7,301,5,25.034,121.566,502715.0239209343,3
94,2004,21,1095,7,25.035,121.567,700507.0327046571,5
95,2000,25,369,6,25.036,121.568,601435.367421019,4
96,1997,28,1986,7,25.037,121.569,700121.7785956196,4
97,2018,7,915,5,25.038,121.57,500101.75165880425,5
98,2010,15,1394,5,25.039,121.571,500643.62679910567,3
99,1996,29,555,6,25.04,121.572,601622.3748777717,5
100,2015,10,1585,4,25.041,121.573,400399.4330960715,4
